pool,config,auth,mint_a,mint_b,fee_owed_a,fee_owed_b,tick_spacing,fee_rate
91KiSxVa1mipLotY8HcAwNPULPaSpwXZVM8xyS32t885,8pSEvMCA6v4bDU7kEmmcbTtEhWQH4rbN6SHYpeY9tSrF,wzma,5oCpEpFo17kqmcs3454dYFsLGhSNdoPsmSaDRxh5YCzd,GGo8ee2DkuX2oFminYuBphMwEiQ5BdCzyYd84Nnm24R5,3451338,30986536,14989,65348
BmVvuN3i9nAULs5S8yPygwYqSLtPw3URPTtwCg4r6Tfj,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,71WsPPm44SUTWDfcCdLKsDezw4ZBXDrPjHz2rea7Lo97,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,21739302,0,54916,65215
4GF3B8qvrnYGoCiUAha9UH5S9qnhK9CCcSRSrSERvz54,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EUxS8Kqvbe8zDr8bG1RYtgjVNzEhMTG6B6H3WwrCHfwA,0,20009935,54916,65215
9Brj8VjGn1a6ZaSupnS3q6UfU9zwD8einKqjkuUPeekk,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2149831,0,54916,65215
Ei6Q23MSQikjweYzxbCBcfTpfz3j2G7qQXvnusQ4VM1F,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,v62Jv9pwMTREWV9f6TetZfMafV254vo99p7HSF25BPr,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2046978,0,54916,64959
5LTEThBJn1Qz2nPHqGrxumxvq9Av9k9EEhG6fRPtbL3r,19zArjWikZJL3eLS6ouvFrY4bwrX9KmrmQWCLHtSLU8,wzma,So11111111111111111111111111111111111111112,EVULoNF4DeMBN4dGiZiDfpiiTfNZgoCvXWWgaV3epump,2644,1136046,44000,65065
BSddxwYW73as8852ZTHRH13pbZEmZ96NBjayc5mSVtkZ,CuRxokDVEuCjovsSNkvUbkpTW3fCTYMbuFqPf3kpZgEz,wzma,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,748931,71449,37976,65527
2R4zNZtRybeLBDQtjY6VvEVc74S95crMtQyySZDUiDD6,9zKyYNHxyG8ZrtjZ6qx1eTFqYJ3d7B1JB4w9DJzgDkU2,wzma,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,458451,0,22841,65371
8rTMSpfU57Ruby4jjaZ4yWYntxc2EpbB8nKy4Q7tozbk,19zArjWikZJL3eLS6ouvFrY4bwrX9KmrmQWCLHtSLU8,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EVULoNF4DeMBN4dGiZiDfpiiTfNZgoCvXWWgaV3epump,55,448273,44000,65321
BQeXvMMRWWjfY57AgXVoR4FHWSSfpNEfUXCmfT1nFW2x,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,J95XcNkdkBy2DCuUybKHyHqXPJJqC4rye7tgYJBcpump,0,444581,54916,65471
CpcJAQgj4jmxuhYucenooeHrH88t1NhTZGfxw3DALBEb,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,EA6zg6e9RcqWDgUpkhRu2YZn7LamGTNntivL7h5qpump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,368052,0,54916,65471
CS3HVePPfQ8sHSeKAauYRutvJdRgcWY7iCVWUfTJ3xgv,Dm916rGvBmSGY5S61Rpggue2HBrXk487r6g2bUJmcPmQ,wzma,8aZuUoqr9rBLjikz7kvpajm1JRqhoWiLMnrNtnRNpump,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,354577,0,54916,65471
